,Stress_khimangthai,So_tuan_mang_thai,Cach_thuc_de,Me_tangcan_khi_mangthai,Can_so_sinh,Bu_sua_me,An_sua_bot_6_thang_dau,Thang_cai_sua,Thang_an_dam,HauAn_khi_an_dam,BMI
Stress_khimangthai,1.0,0.1076535983492119,-0.01585636582921273,0.026671790187807624,-0.04374205447656069,-0.009330482538794716,0.09003873178221847,0.08361784045617093,-0.0005800623678819803,0.05172435240800704,-0.06398945759581202
So_tuan_mang_thai,0.1076535983492119,1.0,0.03536944413587899,0.07193916359405302,0.015025309453914419,-0.018525884406839548,0.09175160150476541,0.052883211130334735,0.03406220827687646,0.006036055910340496,0.04708935357321048
Cach_thuc_de,-0.01585636582921273,0.03536944413587899,1.0,0.13555704230235346,0.048384309339531285,0.10489563994847177,0.02259057821958661,-0.001929366974099534,-0.014466195103759785,0.09621961758971186,0.11529951623976752
Me_tangcan_khi_mangthai,0.026671790187807624,0.07193916359405302,0.13555704230235346,1.0,0.12353745653464793,0.03627541772458941,0.03579902610017088,0.020272997414236,0.03422602263911422,0.026738872022649962,0.041521542724767165
Can_so_sinh,-0.04374205447656069,0.015025309453914419,0.048384309339531285,0.12353745653464793,1.0,-0.03655282024030221,0.006035893421558027,-0.008744717156054377,-0.026993037225932624,-0.0012555965588658437,0.023874952112609815
Bu_sua_me,-0.009330482538794716,-0.018525884406839548,0.10489563994847177,0.03627541772458941,-0.03655282024030221,1.0,-0.08312715519013222,-0.23344726570306515,0.007219843292091604,0.05990131737485369,0.047539501505179986
An_sua_bot_6_thang_dau,0.09003873178221847,0.09175160150476541,0.02259057821958661,0.03579902610017088,0.006035893421558027,-0.08312715519013222,1.0,0.17119604663182333,0.06119448215540828,0.06769567411694603,0.003137007954985
Thang_cai_sua,0.08361784045617093,0.052883211130334735,-0.001929366974099534,0.020272997414236,-0.008744717156054377,-0.23344726570306515,0.17119604663182333,1.0,0.0651234856924709,0.02929150502405243,-0.04873134659691865
Thang_an_dam,-0.0005800623678819803,0.03406220827687646,-0.014466195103759785,0.03422602263911422,-0.026993037225932624,0.007219843292091604,0.06119448215540828,0.0651234856924709,1.0,-0.015794562719116827,-0.013909839638870165
HauAn_khi_an_dam,0.05172435240800704,0.006036055910340496,0.09621961758971186,0.026738872022649962,-0.0012555965588658437,0.05990131737485369,0.06769567411694603,0.02929150502405243,-0.015794562719116827,1.0,-0.12767940621521284
BMI,-0.06398945759581202,0.04708935357321048,0.11529951623976752,0.041521542724767165,0.023874952112609815,0.047539501505179986,0.003137007954985,-0.04873134659691865,-0.013909839638870165,-0.12767940621521284,1.0
