,Tuoi_CHA,Ma_Nghe_CHA,Tuoi_ME,Ma_nghe_ME,BMI
Tuoi_CHA,1.0,-0.051600480116384045,0.7704947939047858,-0.09826124584375001,0.0035265793839376926
Ma_Nghe_CHA,-0.051600480116384045,1.0,-0.042211936357527555,0.4836486572035931,-0.044604399712893913
Tuoi_ME,0.7704947939047858,-0.042211936357527555,1.0,-0.07552448288751987,0.04218689165476523
Ma_nghe_ME,-0.09826124584375001,0.4836486572035931,-0.07552448288751987,1.0,0.03286579486353486
BMI,0.0035265793839376926,-0.044604399712893913,0.04218689165476523,0.03286579486353486,1.0
