,So_bua_sang,An_theo_y_thich,Uong_sua_truoc_ngu,Hau_an,Thoi_gian_an,Luong_an,Thich_ngot,Thich_beo,Thich_nac,Thich_trung,Thich_rau_hoaqua,Gio_di_ngu,Gio_thuc_day,Time_ngu_toi,So_lan_an_ngucoc,So_lan_an_dam,So_lan_an_Sua,So_lan_an_banh_keo,So_lan_uong_nuoc_ngot,Vandong_o_truong,Time_van_dong_manh,Thich_van_dong,Time_xemTV_ngoichoi,BMI
So_bua_sang,1.0,0.03602855125836251,-0.028863538266142224,-0.009648740658129804,-0.012968715411987287,-0.02379112316548406,0.010628896420924176,-0.03564065820006156,0.0013224872144049352,0.004367028924162939,0.013976549418519136,-0.014029964394876537,-0.04815615716884415,0.02760133658865617,-0.00965763265445357,-0.007119287650067827,-0.0001844813652274033,0.012544267275045148,0.009223609833864822,-0.042495210029667614,0.047214957961013125,-0.03166191416026676,-0.00375610654451365,0.052199151877934544
An_theo_y_thich,0.03602855125836251,1.0,0.06265323908070335,0.039337283045053316,-0.021970117496507523,0.020280542711909016,-0.031030277472967997,-0.02369037535640552,0.0806097652315902,-0.06402792998931908,0.006230535081674812,0.04284500707640679,-0.03642254803113521,0.013222204299584109,0.010447971293818196,0.01065399175807205,-0.008859122791707865,-0.011760950540967931,-0.024546875657261134,0.019163352934139625,-0.04363231834149194,0.012296464413711513,-0.029856594577829326,0.036694579389139496
Uong_sua_truoc_ngu,-0.028863538266142224,0.06265323908070335,1.0,-0.27086400798353466,-0.11457732978600295,-0.06031633797561658,0.4380798529882092,0.20825373839535413,-0.050436704472747194,0.4302053418360675,-0.03580956980340837,-0.4825694025315339,0.09661280145877006,-0.417885216906904,0.28777970746695825,0.2904429147125,0.5399794681312917,-0.5400192537034293,-0.4983837791476428,0.6810168176832676,-0.3951161281220158,0.14764314952738017,0.5393341093475138,0.002924297792837419
Hau_an,-0.009648740658129804,0.039337283045053316,-0.27086400798353466,1.0,0.4217914062230273,0.4519717583529696,-0.19693654756572107,-0.12769354551762518,0.07191629310687056,-0.2213059583135786,0.01717402881141505,0.2158467657633806,-0.06492296942860888,0.14511147723871154,-0.10546196819395248,-0.13638474362870415,-0.23001281246542346,0.27328030461651287,0.2233219575040524,-0.3201849316207328,0.12773770375184065,-0.033639959670818204,-0.2688772034404954,0.06106922312161493
Thoi_gian_an,-0.012968715411987287,-0.021970117496507523,-0.11457732978600295,0.4217914062230273,1.0,0.32187187945445206,-0.025687235691747218,0.021076504158827204,0.07506756175189518,-0.04100353306329622,0.0030136782015635546,0.11978639892364729,0.008609253123772205,0.07031176109216902,-0.022309836012851664,-0.060072444640084245,-0.12356858948136687,0.24302687885038401,0.21555860865664647,-0.3421264510318723,0.3092595589143919,-0.06915174373584941,-0.049006730815703385,-0.03439501477585983
Luong_an,-0.02379112316548406,0.020280542711909016,-0.06031633797561658,0.4519717583529696,0.32187187945445206,1.0,-0.30296720268687,-0.2101514375196599,0.30452864049632394,-0.26353567498273694,0.26936778322627936,0.07125010276054655,-0.037513825458891446,-0.06735513661718823,-0.012234383083317212,-0.03426964638015045,-0.021360051916909296,0.060093701602072835,0.05330487434939849,0.006344155772538925,-0.10155805708455412,0.37228274422447827,-0.08634514557714305,0.2248946625992964
Thich_ngot,0.010628896420924176,-0.031030277472967997,0.4380798529882092,-0.19693654756572107,-0.025687235691747218,-0.30296720268687,1.0,0.5072341909438223,-0.3572549157152795,0.6275427831191579,-0.3045647095109603,-0.3595653478305078,0.03203427789531338,-0.26833426561816565,0.19909368607056382,0.20034987186658304,0.37794085740227534,-0.2997184394559845,-0.30183229528034483,0.392259884162861,-0.1645266489805855,-0.3126250207204547,0.39866564497232104,-0.354906909301244
Thich_beo,-0.03564065820006156,-0.02369037535640552,0.20825373839535413,-0.12769354551762518,0.021076504158827204,-0.2101514375196599,0.5072341909438223,1.0,-0.35765452710364104,0.5410751521037337,-0.23338579707325569,-0.15236005431780558,0.012699977886071542,-0.13134775035984803,0.13970710654314947,0.12977585706970993,0.18181364642937156,-0.171913146399701,-0.15520192474676775,0.1509115437135402,-0.01589579302107482,-0.4096743745882769,0.19612757804024897,-0.44380722773010756
Thich_nac,0.0013224872144049352,0.0806097652315902,-0.050436704472747194,0.07191629310687056,0.07506756175189518,0.30452864049632394,-0.3572549157152795,-0.35765452710364104,1.0,-0.39490593582006883,0.36036833911219895,0.1632321775290236,0.08503984337332808,0.027128980824368393,0.06905312973207935,0.08799514081141235,-0.014597019764601905,0.016644734589192973,-0.03551587855232637,0.0008442594838645682,-0.06679268508922513,0.3780500090842065,-0.10972338407703991,0.34599401007115527
Thich_trung,0.004367028924162939,-0.06402792998931908,0.4302053418360675,-0.2213059583135786,-0.04100353306329622,-0.26353567498273694,0.6275427831191579,0.5410751521037337,-0.39490593582006883,1.0,-0.26853922565915267,-0.3452506948451075,0.06672782643796507,-0.2698027665526275,0.22353087419393927,0.22738099568935868,0.37330432768033506,-0.3199159433563387,-0.30458964888436046,0.4022280479899969,-0.15691450570979368,-0.3354208484173666,0.41369565652084483,-0.3613183745604266
